title,artist,date_acquired,gender_list,artist_gender
"Enter the Garden, plate I from Meanders",Mark Tobey,1979-12-04,(male),Male
"Composition from Art of Today, Masters of Abstract Art (Art d'aujourd'hui, maîtres de l'art abstrait), Album I",Piet Mondrian,1964-10-06,(male),Male
"Futuristic Painting (Peinture futuriste) from Art of Today, Masters of Abstract Art (Art d'aujourd'hui, maîtres de l'art abstrait), Album I",Giacomo Balla,1964-10-06,(male),Male
"WAR (double page fold-out plate, between pages 102 and 103) from L'YMAGIER, Tome Ier, No.2",Henri Rousseau,1964-10-06,(male),Male
Killed Youth from Artists and Writers Protest against the War in Vietnam,Leon Golub,1967-10-18,(male),Male
Study for Portrait of Ferrucio Busoni,Umberto Boccioni,1952-01-22,(male),Male
Music on the Gallery,Romare Bearden,1977-02-02,(male),Male
"Early Houses, Provincetown",Charles Demuth,1949-02-03,(male),Male
Collage II (On Filet Ground) (Collage II [Auf Filetgrund]),Hannah Höch,1963-01-08,(female),Female
At the Café (Im Café),Otto Dix,1955-04-06,(male),Male
Creole Dance,Pedro Figari,1943-02-18,(male),Male
Study for Radio City Music Hall Mural,Stuart Davis,1977-02-02,(male),Male
Untitled (Animals and Figures),Jackson Pollock,1958-02-19,(male),Male
Camden Mountain across the Bay,John Marin,1936-01-14,(male),Male
Untitled,Chris Ofili,1999-02-25,(male),Male
Eagle Claw and Bean Necklace,Georgia O'Keeffe,1936-01-14,(female),Female
Under the Elevated,George Bellows,1935-06-13,(male),Male
Nude,Arthur B. Davies,1978-04-04,(male),Male
Abstraction Untitled,Arthur Dove,1988-02-19,(male),Male
Angeline Beloff,Diego Rivera,1975-01-24,(male),Male
Head of a Man,Lucian Freud,1988-02-19,(male),Male
Ambush,Hans Hofmann,1952-05-20,(male),Male
Sugar Cane Cutters,Mario Carreño,1944-05-02,(male),Male
Robert (maquette),Chuck Close,1996-03-14,(male),Male
Ashes of Phoenix,Adolph Gottlieb,1996-03-14,(male),Male
"Box Factory, Gloucester",Edward Hopper,1935-06-13,(male),Male
"Head of Quetzalcoatl (Study for the Dartmouth College Mural, ""An Epic of American Civilization"")",José Clemente Orozco,1962-02-06,(male),Male
Study for Prayer on Park Avenue,Marsden Hartley,1978-04-04,(male),Male
Light Up,Raymond Saunders,1971-03-30,(male),Male
Song of the Nightingale,Joseph Stella,1962-04-10,(male),Male
Woman in a Bathtub,Fernando Botero,1976-03-23,(male),Male
Untitled (Study for Mahoning II),Franz Kline,1999-05-06,(male),Male
Accumulation No. 18a,Yayoi Kusama,1999-05-06,(female),Female
Untitled,Jean-Michel Basquiat,1991-05-23,(male),Male
Head of a Girl,Eugene Speicher,1940-04-05,(male),Male
Self-Portrait,Charles Sheeler,1935-06-13,(male),Male
Untitled,Mark Rothko,1991-05-23,(male),Male
Two Models,Philip Pearlstein,1976-03-23,(male),Male
Copal No. 8,Dorothea Rockburne,1977-04-20,(female),Female
The Thought Which Sees,René Magritte,1966-05-10,(male),Male
Untitled,Morris Louis,1982-11-04,(male),Male
"Coffee Cup, Knife and Book",Duane Michals,1981-11-13,(male),Male
"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",Sherrie Levine,1992-11-05,(female),Female
"Watercolor, 4",Sam Gilliam,1969-06-10,(male),Male
Untitled,Julian Schnabel,1990-10-25,(male),Male
LE COQ GAULOIS,Edward Steichen,1941-12-10,(male),Male
.a Standing Girl .b Harbor Scene,Berthe Morisot,1964-10-06,(female),Female
Portrait of Meijer de Haan,Paul Gauguin,1977-02-02,(male),Male
Scale Study for Cataract Series,Bridget Riley,1969-10-28,(female),Female
Study for Homestead,Thomas Hart Benton,1968-12-11,(male),Male
Tuileries Sanglier / d'apres l'antique,Eugène Atget,1968-03-06,(male),Male
"Exchange Place, New York",Berenice Abbott,1941-01-16,(female),Female
"Four people in evening dress in conversation, 1968",Diane Arbus,1994-01-13,(female),Female
"Houses, Salem, Massachusetts",Walker Evans,1933-04-13,(male),Male
New Mexico,Ansel Adams,1939-01-06,(male),Male
Untitled,George N. Barnard,1974-01-29,(male),Male
Breaker Boys in a Pennsylvania Coal Mine,Lewis Wickes Hine,1946-05-07,(male),Male
Equivalent,Alfred Stieglitz,1950-01-06,(male),Male
Grand Canyon,Alvin Langdon Coburn,1974-01-29,(male),Male
"Church Door, Hornitos",Edward Weston,1946-05-07,(male),Male
Cotton Hoers,Dorothea Lange,1943-02-17,(female),Female
The Painter Gottfried Brockmann,August Sander,1984-01-12,(male),Male
"Wickenberg, Arizona",Aaron Siskind,1984-01-12,(male),Male
"Gardner's Photographic Sketchbook of the War, Vol. I",Alexander Gardner,1941-01-16,(male),Male
Venus Chiding Cupid and Removing His Wings,Julia Margaret Cameron,1989-03-09,(female),Female
Pictures of East Anglian Life,Peter Henry Emerson,1989-03-09,(male),Male
Driftwood,Paul Strand,1943-02-17,(male),Male
"The Towering Smokestacks of the Otis Steel Co., Cleveland",Margaret Bourke-White,1964-01-07,(female),Female
The Little Tree,Albert Renger-Patzsch,1981-02-26,(male),Male
Top Withens,Bill Brandt,1964-01-07,(male),Male
"Barber Shop through Screen Door--McClellanville, South Carolina",Robert Frank,1975-02-12,(male),Male
"Illustrations of China and Its People. A Series of Two Hundred Photographs, with Letterpress Descriptive of the Places and People Represented",John Thomson,1981-02-26,(male),Male
Self-Portrait,David Octavius Hill,1976-02-24,(male),Male
"Coyoacan, Mexico, D.F",Manuel Álvarez Bravo,1977-03-10,(male),Male
Rahsaan Roland Kirk,W. Eugene Smith,1987-02-19,(male),Male
Untitled,William Henry Fox Talbot,1974-01-29,(male),Male
Sky House,Jerry Uelsmann,1974-01-29,(male),Male
From Here I Saw What Happened and I Cried,Carrie Mae Weems,1997-03-06,(female),Female
José Manuel Hidalgo,André-Adolphe-Eugène Disdéri,1995-03-09,(male),Male
Sha Tin,Andreas Gursky,1995-03-09,(male),Male
